B04	B03	B28	B29	B05	B07	B06	B08	B13	B09	B10	B12	B23	B16	B02	B19	B20	B21	B22	B14	B24	B25	B26	B27
書目識別號(不得修改)	書名	並列題名	分類號類型	分類號	作者	作者號	版本	語言別	出版地	出版社	出版年	裝訂別	價格	ISBN	面寬數	高寬	圖表	附件	稽核項	集叢項	附註項	主題項	追尋項
B01	B04	B03	B53	B54	B55	B56	B57	B58	B52	B59	B60	B61	B62	B63
館藏登錄號(不得重複)	書目識別號	書名(不得修改)	館藏狀態	流通別	資料別	特藏號	冊次號	複本號	排架號	館藏地	來源別	捐贈者	附件	新增日期
00000215	000216	台灣地形傑作展	館內架上		一般圖書			V6		"本館藏書	"				91-04-25
00000216	000217	如何保護自己	報廢		一般圖書			C1		"本館藏書	"				91-04-26
00000217	000218	北投百景	報廢		一般圖書			C1		"本館藏書	"				91-04-26
00000218	000219	福全台諺語典	報廢		一般圖書			C1		"本館藏書	"				91-04-26
00000221	000222	臺灣的城門與砲臺	館內架上		一般圖書			V1		"本館藏書	"				91-04-30
00000222	000223		館內架上		一般圖書					"本館藏書	"				91-04-30
00000223	000224	臺灣的老火車站	館內架上		一般圖書			v3		"本館藏書	"				91-04-30
00000224	000225	臺灣的海岸	館內架上		一般圖書			V4		"本館藏書	"				91-04-30
00000225	000226	臺灣的山脈	館內架上		一般圖書			V5		"本館藏書	"				91-04-30
00000226	000227	臺灣的珊瑚礁	館內架上		一般圖書			V6		"本館藏書	"				91-04-30
00000227	000228	臺灣的河流	館內架上		一般圖書			V7		"本館藏書	"				91-04-30
00000228	000229	臺灣的瀑布	館內架上		一般圖書			V8		"本館藏書	"				91-04-30
00000229	000230	臺灣的濕地	館內架上		一般圖書			V2		"本館藏書	"				91-04-30
00000230	000231	貝貝的牙齒	報廢		一般圖書			c1		"本館藏書	"				91-04-30
00000231	000232	魔法青春變變變	館內架上		一般圖書			C1		"本館藏書	"				91-04-30
00000232	000233	十二歲風暴	館內架上		一般圖書			C1		"本館藏書	"				91-04-30
00000233	000234	"長大的感覺,真好"	館內架上		一般圖書			C1		"本館藏書	"				91-04-30
00000234	000125	國民保健手冊	報廢		一般圖書			C2		"本館藏書	"				91-04-30
00000235	000235	你可以向心臟病說不	報廢		一般圖書			V1		"本館藏書	"				91-04-30
00000236	000236	你最可能得到的文明病〈一〉	報廢		一般圖書			V2		"本館藏書	"				91-04-30
00000237	000237	你是否忙不停又瘦不了	報廢		一般圖書			V3		"本館藏書	"				91-04-30
00000238	000238	你可以自在陪父母過老年	報廢		一般圖書			V4		"本館藏書	"				91-04-30
00000239	000239	建築-中國	館內架上		一般圖書			V1		"本館藏書	"				91-05-02
00000240	000240	建築-巴黎	館內架上		一般圖書			v2		"本館藏書	"				91-05-02
